Neighborhood,Zone,Area,Population,Density,Homes_count,Full_Address,Location,Point,Latitude,Longitude,Altitude
Lírio do Vale,Oeste,214.01,25457,10062.15,6162,"Lírio do Vale, Manaus, Amazonas","Lírio do Vale, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0774712, -60.0716185, 0.0)",-3.0774712,-60.0716185,0.0
Mauazinho,Leste,748.83,27852,3146.24,6066,"Mauazinho, Manaus, Amazonas","Mauazinho, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1208869, -59.939523, 0.0)",-3.1208869,-59.939523,0.0
Monte das Oliveiras,Norte,401.92,47478,9992.54,11398,"Monte das Oliveiras, Manaus, Amazonas","Monte das Oliveiras, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0045441, -59.996585383022136, 0.0)",-3.0045441,-59.996585383022136,0.0
Morro da Liberdade,Sul,71.37,14078,16686.28,3402,"Morro da Liberdade, Manaus, Amazonas","Morro da Liberdade, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1380304, -60.0003528, 0.0)",-3.1380304,-60.0003528,0.0
Nossa Senhora Aparecida,Sul,66.85,827,10465.22,2222,"Nossa Senhora Aparecida, Manaus, Amazonas","Nossa Senhora Aparecida, Manacapuru, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil","(-3.369217, -60.749843, 0.0)",-3.369217,-60.749843,0.0
Nossa Senhora das Graças,Centro-Sul,211.72,17869,7139.62,5069,"Nossa Senhora das Graças, Manaus, Amazonas","Nossa Senhora das Graças, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.104233, -60.0200283, 0.0)",-3.104233,-60.0200283,0.0
Nova Cidade,Norte,1044.48,70428,5703.89,18005,"Nova Cidade, Manaus, Amazonas","Nova Cidade, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0026567, -59.9763923, 0.0)",-3.0026567,-59.9763923,0.0
Nova Esperança,Oeste,147.78,20919,11974.56,5073,"Nova Esperança, Manaus, Amazonas","Nova Esperança, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0839519, -60.0593382, 0.0)",-3.0839519,-60.0593382,0.0
Novo Aleixo,Norte,1276.78,114209,7566.77,26457,"Novo Aleixo, Manaus, Amazonas","Novo Aleixo, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0548539, -59.9646563, 0.0)",-3.0548539,-59.9646563,0.0
Novo Israel,Norte,140.14,19887,12004.42,4505,"Novo Israel, Manaus, Amazonas","Novo Israel, Iranduba, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil","(-3.1163083, -60.2459667, 0.0)",-3.1163083,-60.2459667,0.0
Parque 10 de Novembro,Centro-Sul,821.12,48771,5024.36,13433,"Parque 10 de Novembro, Manaus, Amazonas","Vitello - Parque 10, 367, Avenida Tancredo Neves, Parque Dez de Novembro, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69054-040, Brasil","(-3.074441, -60.0079804, 0.0)",-3.074441,-60.0079804,0.0
Petrópolis,Sul,324.1,48717,12715.21,11561,"Petrópolis, Manaus, Amazonas","Petrópolis, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1118902, -59.9947949, 0.0)",-3.1118902,-59.9947949,0.0
Planalto,Centro-Oeste,429.22,19249,3793.63,4818,"Planalto, Manaus, Amazonas","Planalto, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0653098, -60.0572149, 0.0)",-3.0653098,-60.0572149,0.0
Ponta Negra,Oeste,2413.04,5919,207.5,2304,"Ponta Negra, Manaus, Amazonas","Ponta Negra, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0653214, -60.097923, 0.0)",-3.0653214,-60.097923,0.0
Praça 14,Sul,100.34,12117,10215.27,3004,"Praça 14, Manaus, Amazonas","Praça 14, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1211859, -60.0139117, 0.0)",-3.1211859,-60.0139117,0.0
Presidente Vargas,Sul,56.7,9391,14010.58,2213,"Presidente Vargas, Manaus, Amazonas","Presidente Vargas, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1185334, -60.029405, 0.0)",-3.1185334,-60.029405,0.0
